lipid_id	lipid_name	pmol_d00_2	pmol_d00_3	pmol_d00_4	pmol_d00_5	pmol_d03_1	pmol_d03_2	pmol_d03_3	pmol_d03_5	pmol_d07_1	pmol_d07_3	pmol_d07_4	pmol_d07_5	pmol_d14_1	pmol_d14_2	pmol_d14_3	pmol_d14_4	pmol_d14_5
HexCer 34:1;2	Hexosyl ceramide (d34:1)	0.531388455746704	0.42130929796435	0.535753859665864	0.540772782881758	0.448313870118592	0.454984018757566	0.644401941417147	0.623300459469495	0.585668036313564	0.623804167997323	0.630627539353337	0.682950288927191	0.57704194903725	0.620623234996298	0.812698120406302	0.530784330960672	0.586553935524083
HexCer 34:2;3	Hexosyl ceramide (t34:2)						0.400066339695794											
HexCer 36:0;2	Hexosyl ceramide (d36:0)				0.390565004778387					0.312523929780859		0.263436520184433						0.356594081850154
HexCer 36:1;2	Hexosyl ceramide (d36:1)	7.40176227452891	6.57478347455281	7.49478055869216	7.72310896983247	6.33742320533547	8.00523963373867	7.05079782458844	7.77747011912132	7.2474504179871	7.72430048005101	7.06766927830793	7.59209700534831	5.55500906895936	9.37996184934978	8.91853973841105	6.27776984004754	7.29154983596198
HexCer 36:1;3	Hexosyl ceramide (t36:1)	8.53299591678729	7.25813790358371	7.84076759504924	8.7551095189468	6.55657909399794	8.61202900020363	7.76516536902353	7.61963262596695	7.36270345628537	8.41704858307758	7.37667963043973	8.47541678724912	5.95471110102087	9.36142574151816	9.88531713851699	6.43518947718776	8.276886662597
HexCer 36:2;2	Hexosyl ceramide (d36:2)	0.455474056573621	0.371824176648204	0.341250425935749	0.454626168048076				0.361299005170496	0.343100054675213	0.419011465003008	0.274590309209968	0.362730613348557		0.423048326446555	0.580269425563864		0.329140640834657
HexCer 38:0;3	Hexosyl ceramide (t38:0)	0.367657181828515	0.295759713861584	0.36309894063735	0.490209278019168			0.425306526033329	0.3363128092826				0.407041310005651	0.324145456147156	0.451617068792326			0.348853238070634
HexCer 38:1;2	Hexosyl ceramide (d38:1)	2.05323368967704	1.59286054401593	1.88036203049812	1.68492407796146	1.43035319961441	1.65391810860971	1.66602559004916	1.76440698657393	1.66147449491044	1.76600826648411	1.52148605425571	1.80594285226043	1.36924044116817	1.82051120849783	2.30604560482504	1.49216805771357	1.47893272233856
HexCer 38:1;3	Hexosyl ceramide (t38:1)	8.40916084560812	7.87074039566035	8.76812360877696	8.98124522030993	6.52264662811512	8.01005080757565	8.7686757353555	7.310124306812	7.06618590826313	8.92516525735354	7.67329947984437	8.23752771015069	5.8583646369574	9.19886357937221	10.2530349442575	6.63816820754219	8.25693112308458
HexCer 38:2;3	Hexosyl ceramide (t38:2)	0.401343367476185		0.332186034514678	0.367533324755017							0.35492427975944						
HexCer 40:0;2	Hexosyl ceramide (d40:0)	1.5667764182871	1.26592920872499	1.14558874524644	1.4177331769659	1.24211668143127	1.43913212504562	1.21202568887376	1.38802073713408	1.24071267017943	1.14837307294463	1.30700763302787	1.20941484100143	0.933634384964502	1.5910937765754	1.68225822429068	1.02591089007835	1.41677870882918
HexCer 40:0;3	Hexosyl ceramide (t40:0)	8.08900490830705	6.73954662085246	7.02084834267479	7.66558550428178	5.81413132452614	7.60949726694888	7.04409332296101	7.13241025683015	6.30638564290975	7.05408651314618	6.33902467329966	7.59370599547297	5.06935657471277	9.02036797691746	8.7207986883923	5.89421337322011	7.57330063076441
HexCer 40:1;2	Hexosyl ceramide (d40:1)	12.8421235023713	10.8949532807573	11.8326892538671	12.3778083548444	9.36986020766653	12.3783439829654	10.6324940420153	11.2372211095206	10.3623068716645	11.9299444339643	11.1146381626362	12.2072480149901	9.224398496684	14.637478908887	14.8491293689517	10.3267255480278	10.9391805471419
HexCer 40:1;3	Hexosyl ceramide (t40:1)	89.1475368460299	79.8985832000841	87.6220788089647	88.2633399802182	67.3593402806485	86.3813676432174	80.1415249123706	80.3402904806454	72.7310053386218	85.9980323279078	78.6658395067072	85.7606148902709	60.2915363556682	97.4902025452941	102.464101775311	68.0379113678362	80.5911154171051
HexCer 40:2;2	Hexosyl ceramide (d40:2)	3.79410402419251	3.36364876737107	3.56495494534486	3.90684089981337	2.67706056155387	3.4196031102476	3.39175983326571	3.19526520523694	3.08873580449042	3.33111241447159	3.14655940424389	3.41386859121284	2.32588285836407	3.93142670520347	4.29505095121593	2.62739248818262	3.14104603672697
HexCer 40:2;3	Hexosyl ceramide (t40:2)	6.40949979474861	5.97387794200795	6.39024607280809	7.41461087682872	5.09815403775035	6.01425426665791	6.22134197716939	5.95693540387202	5.47725362449895	6.02928805657443	5.76755523521633	6.21731160358925	4.47782929573461	6.93336787304998	7.63043820948295	5.19838908266909	5.68449930038032
HexCer 42:0;2	Hexosyl ceramide (d42:0)	1.17545106412564	0.955790532522599	0.993130160990579	0.989628125156491	0.845814289794446	1.20905998308123	0.913678845452077	0.979965816005013	0.860216970447483	0.983357464134196	0.903598492232446	1.03856250580084	0.906067359325899	1.29779496101852	1.25085611552001	0.894969539875616	0.940417681222868
HexCer 42:0;3	Hexosyl ceramide (t42:0)	1.87422545198622	1.9567215500292	1.37026580566732	2.09981748920134	1.69429462131368	1.87962843179823	1.75106925578952	1.9331218998768	1.13416756692293	1.92452444656694	1.68196636446442	1.73414251419058	1.59624438790362	2.15269564455341	2.08031948509953	1.60083497438481	1.72115174305787
HexCer 42:1;2	Hexosyl ceramide (d42:1)	20.5567746151876	18.2370993155957	20.0161434964187	20.387592273818	16.5674075775891	21.1288342975079	18.1987701245234	18.7541270918697	16.5060850751846	20.3611748107313	18.4836863287713	21.0512561595065	15.1820674015761	24.8631418283925	24.8032304662105	15.7038093399079	17.9925905528169
HexCer 42:1;3	Hexosyl ceramide (t42:1)	82.1915001901858	73.6902131886462	82.5172518626609	82.871407213073	65.5497792692017	85.6983073306609	74.8428187932336	75.7397130659196	67.9114728769181	82.0124487000722	73.2666493591399	82.4147157888542	60.2580176086112	96.9633143195638	99.3934716230193	64.164961562023	77.39121242383
HexCer 42:2;2	Hexosyl ceramide (d42:2)	72.514144789182	63.955727536882	69.2565585808131	73.3652168814114	53.6595921741571	67.6428720000681	61.8821085181909	61.555714648676	56.2227183302215	67.0466244921517	61.6804898841254	67.1307004293745	48.324321355558	76.3535134282538	84.4452491127509	54.2781756453457	61.5442615798283
HexCer 42:2;3	Hexosyl ceramide (t42:2)	42.0283746300142	37.1771317486307	40.4917206093046	42.8875648255575	30.9009238852049	38.8981960465731	36.3713398658361	35.9430461018259	32.7026799029474	38.5957871424703	35.762183275471	39.6102858808177	28.16441606556	45.0287207237329	48.4892304709437	30.9606317861562	37.2616086195796
HexCer 44:1;3	Hexosyl ceramide (t44:1)	1.37170921423462	1.43694721950993	1.65770420002857	1.47517822399368	1.1668299160103	1.50445682322036	1.19787537670451	1.31401179872305	1.11503241303683	1.56284844011636	1.30650280203328	1.44171128581698	1.12418979716672	1.62214713553811	1.56730485006015	1.23310908232175	1.36622743979168
HexCer 44:2;2	Hexosyl ceramide (d44:2)	0.912890052899729	0.720242774884147	0.929966579519043	0.904545062100664	0.63332980525334	0.756599680100148	0.693328108612355	0.731036934118933	0.778902556800924	0.792533792884199	0.768907439062125	0.970997708237965	0.557310334389035	1.14450028862635	0.948565497390598	0.686144116268422	0.82432855478829
HexCer 44:2;3	Hexosyl ceramide (t44:2)	1.56587723802984	1.56753361776547	1.55978015086041	1.79674607081508	1.38321717948456	1.58811218021887	1.39337632733512	1.45272231834083	1.43765712340435	1.51975078586215	1.36375067442973	1.44061493092839	1.15507748054506	1.69371879992966	1.64663797365226	1.39830606922653	1.48958880291521
